Date,AAPL,ABT,AMGN,AMZN,BA,BAC,BMY,BRK-A,CMCSA,COP,CSCO,CVX,DD,DIS,FB,GE,GM,GOOGL,HD,HPQ,IBIO,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MO,MRK,MSFT,ORCL,PEP,PFE,PG,S,SBUX,SLB,T,TM,TMUS,TSLA,UNH,UNP,UTX,V,VZ,WFC,WMT,XOM
2014-01-02,79.01856994628906,38.22999954223633,115.80000305175781,397.9700012207031,136.6699981689453,16.100000381469727,52.27000045776367,176320.0,25.725000381469727,69.77999877929688,22.0,124.13999938964844,62.4388427734375,76.2699966430664,54.709999084472656,26.44230842590332,40.95000076293945,557.1171264648438,82.0199966430664,12.561307907104492,3.5,185.52999877929688,25.790000915527344,91.02999877929688,58.209999084472656,40.65999984741211,96.41000366210938,138.1300048828125,37.900001525878906,49.4900016784668,37.15999984741211,37.84000015258789,82.0999984741211,30.459999084472656,80.54000091552734,10.399999618530273,38.584999084472656,88.81999969482422,34.95000076293945,120.62999725341797,33.369998931884766,150.10000610351562,74.56999969482422,83.55500030517578,112.48999786376953,55.252498626708984,49.0,45.02000045776367,78.91000366210938,99.75
2014-01-03,77.2828598022461,38.63999938964844,114.47000122070312,396.44000244140625,137.6199951171875,16.40999984741211,52.849998474121094,176336.0,25.53499984741211,69.95999908447266,21.979999542236328,124.3499984741211,62.15419006347656,76.11000061035156,54.560001373291016,26.423076629638672,39.56999969482422,553.0530395507812,81.88999938964844,12.870118141174316,3.5,186.63999938964844,25.780000686645508,91.8499984741211,58.65999984741211,40.459999084472656,96.54000091552734,138.4499969482422,37.720001220703125,49.72999954223633,36.90999984741211,37.619998931884766,82.23999786376953,30.520000457763672,80.44999694824219,9.9399995803833,38.474998474121094,88.3499984741211,34.79999923706055,120.51000213623047,32.279998779296875,149.55999755859375,75.0999984741211,83.42500305175781,112.9000015258789,55.290000915527344,48.41999816894531,45.34000015258789,78.6500015258789,99.51000213623047
2014-01-06,77.70428466796875,39.150001525878906,113.4800033569336,393.6300048828125,138.41000366210938,16.65999984741211,52.63999938964844,174500.0,25.510000228881836,70.26000213623047,22.010000228881836,124.0199966430664,62.04032897949219,75.81999969482422,57.20000076293945,26.211538314819336,40.400001525878906,559.21923828125,81.0999984741211,12.847411155700684,3.700000047683716,186.0,25.459999084472656,92.33000183105469,59.0,40.27000045776367,95.8499984741211,137.6300048828125,37.279998779296875,49.7400016784668,36.130001068115234,37.470001220703125,82.27999877929688,30.549999237060547,80.63999938964844,9.770000457763672,38.084999084472656,88.0199966430664,34.959999084472656,120.16999816894531,33.47999954223633,147.0,74.23999786376953,82.58000183105469,112.79000091552734,54.95750045776367,48.689998626708984,45.41999816894531,78.20999908447266,99.66000366210938
2014-01-07,77.14857482910156,38.849998474121094,116.43000030517578,398.0299987792969,140.50999450683594,16.5,52.560001373291016,174195.0,26.415000915527344,70.37000274658203,22.309999465942383,125.06999969482422,61.35715866088867,76.33999633789062,57.91999816894531,26.240385055541992,40.20000076293945,570.0,81.5,12.797456741333008,3.799999952316284,189.7100067138672,25.59000015258789,94.29000091552734,58.31999969482422,40.38999938964844,96.37999725341797,137.64999389648438,37.279998779296875,50.11000061035156,36.40999984741211,37.849998474121094,83.4800033569336,30.739999771118164,81.41999816894531,9.869999885559082,38.60499954223633,87.51000213623047,34.95000076293945,120.45999908447266,33.220001220703125,149.36000061035156,76.51000213623047,83.30999755859375,113.51000213623047,55.377498626708984,49.29999923706055,45.400001525878906,78.44999694824219,101.06999969482422
2014-01-08,77.63714599609375,39.20000076293945,115.87999725341797,401.9200134277344,140.82000732421875,16.579999923706055,53.41999816894531,173284.0,26.375,69.69000244140625,22.290000915527344,123.29000091552734,61.428321838378906,75.22000122070312,58.22999954223633,26.163461685180664,40.41999816894531,571.1861572265625,81.93000030517578,12.465940475463867,3.799999952316284,187.97000122070312,25.43000030517578,94.16000366210938,58.869998931884766,39.939998626708984,95.41000366210938,136.6300048828125,37.130001068115234,49.790000915527344,35.7599983215332,37.720001220703125,83.23999786376953,30.950000762939453,80.23999786376953,9.979999542236328,39.01499938964844,86.9800033569336,34.2400016784668,119.8499984741211,33.310001373291016,151.27999877929688,75.62000274658203,83.46499633789062,113.6500015258789,55.55500030517578,48.5,45.91999816894531,77.83000183105469,100.73999786376953
2014-01-09,76.64571380615234,39.27000045776367,118.88999938964844,401.010009765625,142.1300048828125,16.829999923706055,55.029998779296875,172965.0,26.440000534057617,69.45999908447266,22.09000015258789,123.29000091552734,60.631290435791016,74.9000015258789,57.220001220703125,26.173076629638672,40.4900016784668,565.6856689453125,81.56999969482422,12.53860092163086,3.799999952316284,187.3800048828125,25.309999465942383,94.7300033569336,58.7599983215332,39.72999954223633,95.45999908447266,136.4499969482422,37.25,49.52000045776367,35.529998779296875,37.650001525878906,82.8499984741211,30.93000030517578,80.41999816894531,9.420000076293945,38.79999923706055,86.4800033569336,33.540000915527344,120.33000183105469,33.029998779296875,147.52999877929688,76.08000183105469,84.63500213623047,113.70999908447266,55.477500915527344,47.5,46.15999984741211,78.08999633789062,99.76000213623047
2014-01-10,76.13428497314453,39.56999969482422,117.98999786376953,397.6600036621094,141.89999389648438,16.770000457763672,56.18000030517578,172540.0,26.770000457763672,68.87000274658203,22.219999313354492,121.01000213623047,60.78784942626953,75.38999938964844,57.939998626708984,25.923076629638672,40.029998779296875,565.6556396484375,82.01000213623047,12.579473495483398,4.599999904632568,187.25999450683594,25.530000686645508,94.73999786376953,58.4900016784668,40.130001068115234,95.80000305175781,136.17999267578125,37.2599983215332,49.880001068115234,36.040000915527344,38.11000061035156,83.5,30.690000534057617,80.30000305175781,9.460000038146973,38.834999084472656,88.16999816894531,33.619998931884766,120.80999755859375,33.02000045776367,145.72000122070312,74.69999694824219,85.19000244140625,113.83000183105469,55.282501220703125,47.75,45.939998626708984,78.04000091552734,100.5199966430664
2014-01-13,76.5328598022461,39.11000061035156,116.4000015258789,390.9800109863281,140.6999969482422,16.43000030517578,55.41999816894531,170893.0,26.079999923706055,67.73999786376953,22.190000534057617,119.25,59.62076950073242,73.2699966430664,55.90999984741211,25.701923370361328,39.58000183105469,562.0520629882812,80.97000122070312,12.770209312438965,4.300000190734863,184.16000366210938,25.5,94.5,57.70000076293945,39.529998779296875,94.83000183105469,134.67999267578125,37.09000015258789,53.119998931884766,34.97999954223633,37.75,82.37000274658203,30.540000915527344,80.01000213623047,9.09000015258789,37.560001373291016,87.45999908447266,33.29999923706055,119.4000015258789,32.4900016784668,139.33999633789062,73.94000244140625,84.0250015258789,112.80000305175781,54.724998474121094,47.029998779296875,45.560001373291016,77.48999786376953,98.55000305175781
2014-01-14,78.05571746826172,39.56999969482422,117.72000122070312,397.5400085449219,140.00999450683594,16.770000457763672,55.68000030517578,172250.0,26.405000686645508,68.31999969482422,22.40999984741211,119.56999969482422,60.70245361328125,74.44999694824219,57.7400016784668,25.93269157409668,40.02000045776367,575.2752685546875,81.01000213623047,13.101725578308105,5.900000095367432,185.9199981689453,26.510000228881836,94.72000122070312,57.7400016784668,39.689998626708984,95.22000122070312,137.41000366210938,36.97999954223633,53.0,35.779998779296875,38.209999084472656,82.37000274658203,31.0,80.87000274658203,9.170000076293945,37.72999954223633,88.87000274658203,33.47999954223633,119.45999908447266,32.939998626708984,161.27000427246094,74.0199966430664,84.41000366210938,112.62999725341797,55.662498474121094,47.08000183105469,45.59000015258789,77.95999908447266,99.12000274658203
2014-01-15,79.62285614013672,39.529998779296875,118.51000213623047,395.8699951171875,140.6199951171875,17.149999618530273,54.5,173665.0,27.03499984741211,68.08000183105469,22.780000686645508,119.18000030517578,61.27176284790039,74.27999877929688,57.599998474121094,26.288461685180664,39.380001068115234,574.8848876953125,81.06999969482422,13.097184181213379,5.199999809265137,187.74000549316406,26.670000076293945,94.80000305175781,59.4900016784668,39.7599983215332,95.45999908447266,138.44000244140625,36.900001525878906,52.52000045776367,36.7599983215332,38.40999984741211,82.88999938964844,31.18000030517578,80.79000091552734,9.079999923706055,38.095001220703125,88.88999938964844,33.790000915527344,119.47000122070312,32.529998779296875,164.1300048828125,74.83999633789062,85.07499694824219,114.06999969482422,55.939998626708984,48.27000045776367,46.400001525878906,77.66000366210938,98.77999877929688
